index,date,count,first,second,min,mean,min_count,actual_count,month,season
1,2014.2,3203,12582,13354,10000,16340,8,587,2,1
2,2014.3,5816,12845,13115,10000,14262,50,1520,3,1
3,2014.4,7496,11157,11281,10000,11891,291,3126,4,2
4,2014.5,7572,10621,10677,10000,11144,291,3823,5,2
5,2014.6,6949,10432,10466,10000,10877,307,4584,6,2
6,2014.7,5565,10363,10392,10000,10757,287,5044,7,3
7,2014.8,3721,10425,10474,10500,11162,875,3640,8,3
8,2014.9,3281,11104,11348,12000,12950,1026,3253,9,3
9,2014.1,3230,13378,14019,16000,16892,12,3207,10,4
10,2014.11,3228,18119,19272,24400,26201,11,3198,11,4
11,2014.12,3234,22907,24303,25000,33987,35,3127,12,4
12,2015.1,2939,22875,23774,10000,25861,21,1449,1,1
13,2015.2,4427,11789,11910,11600,12729,27,4379,2,1
14,2015.3,2983,12477,12820,14200,15485,6,2952,3,1
15,2015.4,2968,14280,14806,18000,18996,304,2931,4,2
16,2015.5,2973,15508,16252,20110,22682,32,2932,5,2
17,2015.6,2975,16890,17658,21100,23593,38,2940,6,2
18,2015.7,2936,18292,19115,22100,24490,16,2939,7,3
19,2015.8,2976,19867,20520,20100,24537,27,2935,8,3
20,2015.9,2975,19941,20397,15000,22391,115,2899,9,3
21,2015.1,2016,16605,16883,15500,19093,30,2985,10,4
22,2015.11,2968,15972,16275,17000,18588,87,2952,11,4
23,2015.12,2952,16640,16952,18500,19599,235,2927,12,4
24,2016.1,2933,15151,18000,18000,19207,156,2907,1,1
25,2016.2,2965,15752,16554,19200,20103,16,2952,2,1
26,2016.3,2948,18508,19272,23500,24344,243,2927,3,1
27,2016.4,2956,19853,21006,27200,28478,43,2916,4,2
28,2016.5,2974,21182,22585,30100,32225,87,2946,5,2
29,2016.6,2967,23271,24690,31600,34766,12,2937,6,2
